,Name,Price,Location,Mileage
174,2015 Toyota 4Runner * Limited * 7 Seats * Navi * S/R * Leather * KLM > 128K > iN house fin,"C$49,499","Port Coquitlam, BC",
98,2022 Ford bronco sport outer banks,"C$49,619",,55K km
213,2016 Land Rover range rover sport,"C$49,900","Surrey, BC",63K km
214,2020 Kia telluride,"C$49,980","North Vancouver, BC",53K km
229,2020 Toyota corolla,"C$49,980","Surrey, BC",22K km
28,2003 Honda odyssey,"C$5,400","Burnaby, BC",246K km
43,2007 Pontiac torrent,"C$5,500","Burnaby, BC",6.7K km
18,2006 Ford econoline,"C$5,900","Surrey, BC",
5,2014 Nissan versa,"C$5,990","Coquitlam, BC",180K km
158,2019 Chevrolet spark,"C$50,900","Richmond, BC",35K km
65,2015 Mitsubishi lancer,"C$51,980","Coquitlam, BC",21K km
215,2022 Toyota corolla hybrid premium,"C$51,998","Richmond, BC",14K km
84,2020 Honda odyssey,"C$52,800","Richmond, BC",5.9K km
76,2018 GMC sierra,"C$53,999","Vancouver, BC",81K km
133,2021 Acura rdx a-spec,"C$54,995",,40K km
205,2021 Kia forte,"C$55,444","North Vancouver, BC",49K km
182,2011 GMC sierra,"C$55,900","Vancouver, BC",170K km
181,2021 Audi q5 sportback progressive,"C$55,900","Surrey, BC",8.7K km
60,2019 Tesla model 3,"C$56,980","Vancouver, BC",184K km
157,2018 Audi s5,"C$57,998","Surrey, BC",39K km
225,2019 Ford *fusion * hybrid * titanium * navi * s/r * leather * uber * klm > 48K > in house fin,"C$57,999","Coquitlam, BC",
62,2020 BMW m340i,"C$58,900","Vancouver, BC",89K km
35,2005 BMW x3,"C$6,000","Port Coquitlam, BC",133K km
51,1989 Ford econoline,"C$6,800","Vancouver, BC",46K km
59,2009 Ford escape,"C$6,900","Surrey, BC",73K km
67,2002 Suzuki grand vitara,"C$6,900","Surrey, BC",300 km
26,2002 Toyota highlander,"C$6,995","Burnaby, BC",274K km
121,2017 Maserati Levante,"C$60,800","Port Coquitlam, BC",
17,2003 Ford f-150,C$600,"Richmond, BC",11K km
105,2021 Mercedes-Benz glc-class,"C$61,895","North Vancouver, BC",34K km
224,2020 Lexus rx,"C$61,900","Port Coquitlam, BC",31K km
147,2017 Jeep grand cherokee srt clean titles,"C$62,388","Vancouver, BC",45K km
95,2020 Kia telluride,"C$62,995","Surrey, BC",
142,"2020 Tesla Model 3 Standard Range PLUS!! (42,251 kms, no accidents)","C$63,900","Surrey, BC",
74,2022 Toyota 4runner,"C$64,980","Vancouver, BC",207K km
82,2020 Chevrolet colorado zr2,"C$64,996","Surrey, BC",85K km
203,2012 Jeep grand cherokee,"C$66,500","Vancouver, BC",227K km
68,2022 Tesla model 3,"C$66,997","Port Coquitlam, BC",69K km
99,2019 Land Rover Range Rover Velar,"C$67,980","Vancouver, BC",61K km
90,2021 Toyota tacoma trd pro,"C$67,998","Richmond, BC",44K km
89,2019 Tesla model 3,"C$67,999","Burnaby, BC",15K km
163,2016 Honda hr-v,"C$68,800","Vancouver, BC",81K km
42,2022 Toyota sienna xse hybrid [like new],"C$69,997","Burnaby, BC",209K km
9,2012 Acura tsx,"C$7,666","Surrey, BC",174K km
20,2009 Volkswagen golf,"C$7,900",,207K km
32,2008 Mazda mazda3,"C$7,900","North Vancouver, BC",218K km
150,"2022 Honda cr-v sport awd , sunroof, 19inch alloy wheels, power liftgate, local, one owner accident free, lane watch camera","C$7,999","Richmond, BC",2.6K km
187,2013 Toyota sienna,"C$7,999","Surrey, BC",285K km
22,2006 Mitsubishi eclipse,"C$7,999","Port Coquitlam, BC",158K km
220,2021 Honda passport ex-l awd,"C$70,995","Burnaby, BC",10K km
119,2021 Mercedes-Benz gle350,"C$70,999","Vancouver, BC",
53,2021 Ford bronco base,"C$71,998","Port Coquitlam, BC",
109,2022 Chevrolet silverado 1500 rst,"C$72,520","Surrey, BC",108K km
36,2007 Honda civic,"C$8,295","Surrey, BC",
44,2020 Yamaha mt,"C$8,500","Surrey, BC",
8,2012 Hyundai elantra,"C$8,500","Coquitlam, BC",123K km
10,2008 Audi a4,"C$8,869","Surrey, BC",197K km
138,2009 Hyundai santa fe,"C$8,900","Port Coquitlam, BC",16K km
210,2021 Tesla model s,"C$8,900","Surrey, BC",5K km
11,2010 Honda civic,"C$8,900","Surrey, BC",227K km
25,2010 Nissan versa,"C$8,900","Vancouver, BC",124K km
54,2006 BMW series 3,"C$8,995","Surrey, BC",46K km
31,2019 Audi a5 RS 5,"C$81,900","Surrey, BC",28K km
40,2020 Jeep grand cherokee srt slightly used,"C$82,999","Surrey, BC",106K km
162,2016 Tesla model x,"C$85,995",,75K km
131,2020 Jeep grand cherokee SRT,"C$88,899","Port Coquitlam, BC",58K km
226,2017 Audi q5,C$89,"Port Coquitlam, BC",118K km
30,2022 Tesla model 3,"C$89,900",,700 km
16,2014 Nissan versa,"C$9,500","New Westminster, BC",160K km
27,2007 Ford mustang,"C$9,900","Surrey, BC",
172,2014 Toyota rav4,"C$9,900","Surrey, BC",176K km
200,2016 Hyundai accent,"C$9,900","Richmond, BC",37K km
186,2010 Dodge journey,"C$9,900","Burnaby, BC",149K km
33,2022 Ford mustang mach 1,"C$93,435","Vancouver, BC",300 km
46,2022 Tesla model y,"C$95,988","Vancouver, BC",193K km
88,2020 Mercedes-Benz gls450,"C$95,995","Vancouver, BC",77K km
175,2014 Acura ilx,C$98,"North Vancouver, BC",56K km
223,2020 BMW x3 m40i,"C$98,888","Port Coquitlam, BC",23K km
48,2019 Ford f-450,"C$99,995","Coquitlam, BC",
